title|id|released|tagline|summary|rated|duration
21 Jump Street|62|2012|They thought the streets were mean. Then they went back to high school.|In high school, Schmidt was a dork and Jenko was the popular jock. After graduation, both of them joined the police force and ended up as partners riding bicycles in the city park. Since they are young and look like high school students, they are assigned to an undercover unit to infiltrate a drug ring that is supplying high school students synthetic drugs.|R|109
A Few Good Men|5|1992|In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth.|Neo military lawyer Kaffee defends Marines accused of murder; they contend they were acting under orders.|R|138
A League of Their Own|38|1992|Once in a lifetime you get a chance to do something different.|Two sisters join the first female professional baseball league and struggle to help it succeed amidst their own growing rivalry.|PG|128
Apollo 13|30|1995|Houston, we have a problem.|Three astronauts must devise a strategy to return to Earth safely after their spacecraft undergoes massive internal damage.|PG|140
As Good as It Gets|9|1997|A comedy from the heart that goes for the throat.|A single mother/waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is in an accident.|PG-13|139
Bicentennial Man|35|1999|One robot's 200 year journey to become an ordinary man.|An android endeavors to become human as he gradually acquires emotions.|PG|132
Cast Away|32|2000|At the edge of the world, his journey begins.|A FedEx executive must transform himself physically and emotionally to survive a crash landing on a deserted island.|PG-13|143
Charlie Wilson's War|36|2007|A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.|A drama based on a Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets have some unforeseen and long-reaching effects.|R|102
Cloud Atlas|22|2012|Everything is connected|An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.|R|172
Fast & Furious 6|51|2013|All roads lead to this|Since Dom (Diesel) and Brian's (Walker) Rio heist toppled a kingpin's empire and left their crew with $100 million, our heroes have scattered across the globe. But their inability to return home and living forever on the lam have left their lives incomplete. Meanwhile, Hobbs (Johnson) has been tracking an organization of lethally skilled mercenary drivers across 12 countries, whose mastermind (Evans) is aided by a ruthless second-in-command revealed to be the love Dom thought was dead, Letty (Rodriguez). The only way to stop the criminal outfit is to outmatch them at street level, so Hobbs asks Dom to assemble his elite team in London. Payment? Full pardons for all of them so they can return home and make their families whole again.|PG-13|130
Forrest Gump|45|1994|The world will never be the same, once you've seen it through the eyes of Forrest Gump.|A man with a low IQ has accomplished great things in his life and been present during significant historic events - in each case, far exceeding what anyone imagined he could do. Yet, despite all the things he has attained, his one true love eludes him. 'Forrest Gump' is the story of a man who rose above his challenges, and who proved that determination, courage, and love are more important than ability.|PG-13|142
Frost/Nixon|28|2008|400 million people were waiting for the truth.|A dramatic retelling of the post-Watergate television interviews between British talk-show host David Frost and former president Richard Nixon.|R|122
Hoffa|29|1992|He didn't want law. He wanted justice.|A film based on the story of legendary union figure Jimmy Hoffa.|R|140
Iron Man|46|2008|Heroes aren't born. They're built.|After escaping from kidnappers using makeshift power armor, an ultrarich inventor and weapons maker turns his creation into a force for good by using it to fight crime. But his skills are stretched to the limit when he must face the evil Iron Monger.|PG-13|126
Iron Man 2|47|2010|It's not the armor that make the hero, but the man inside.|Now that his Super Hero secret has been revealed, Tony Stark's life is more intense than ever. Everyone wants in on the Iron Man technology, whether for power or profit... But for Ivan Vanko, it's revenge! Tony must once again suit up and face his most dangerous enemy yet, but not without a few new allies of his own.|PG-13|124
Iron Man 3|44|2013|Unleash the power behind the armor.|The brash-but-brilliant industrialist Tony Stark faces an enemy whose reach knows no bounds. When Stark finds his personal world destroyed at his enemy‰Ûªs hands, he embarks on a harrowing quest to find those responsible. This journey, at every turn, will test his mettle. With his back against the wall, Stark is left to survive by his own devices, relying on his ingenuity and instincts to protect those closest to him. As he fights his way back, Stark discovers the answer to the question that has secretly haunted him: does the man make the suit or does the suit make the man?|PG-13|130
Jerry Maguire|7|2000|The rest of his life begins now.|When a sports agent has a moral epiphany and is fired for expressing it, he decides to put his new philosophy to the test as an independent with the only athlete who stays with him.|R|139
Joe Versus the Volcano|14|1990|A story of love, lava and burning desire.|When a hypochondriac learns that he is dying, he accepts an offer to throw himself in a volcano at a tropical island, and along the way there, learns to truly live.|PG|102
Johnny Mnemonic|21|1995|The hottest data on earth. In the coolest head in town|A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.|R|96
Man of Steel|48|2013|You will believe that a man can fly.|A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.|PG-13|143
Meet Joe Black|64|1998|He's Expecting You.|When the grim reaper comes to collect the soul of megamogul Bill Parrish, he arrives with a proposition: Host him for a vacation among the living in trade for a few more days of existence. Parrish agrees, and using the pseudonym Joe Black, Death begins taking part in Parrish's daily agenda and falls in love with the man's daughter. Yet when Black's holiday is over, so is Parrish's life.|PG-13|178
Ninja Assassin|26|2009|Prepare to enter a secret world of assassins|A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.|R|99
Now You See Me|53|2013|4 amazing magicians. 3 impossible heists. 1 billion dollars. This is no illusion.|Four magicians each answer a mysterious summons to an obscure address with secrets inside. A year later, they are the Four Horseman, big time stage illusionists who climax their sold out Las Vegas show with a bank apparently robbed for real. This puts agents Dylan Rhodes of the FBI and Alma Vargas of Interpol on the case to find out how they did it. However, this mystery proves difficult to solve even with the insights of the professional illusion exposer, Thaddeus Bradley. What follows is a bizarre investigation where nothing is what it seems with illusions, dark secrets and hidden agendas galore as all involved are reminded of a great truth in this puzzle: the closer you look, the less you see.|PG-13|115
One Flew Over the Cuckoo's Nest|33|1975|If he's crazy, what does that make you?|Upon admittance to a mental institution, a brash rebel rallies the patients to take on the oppressive head nurse.|R|133
RescueDawn|18|2006|Based on the extraordinary true story of one man's fight for freedom|A US Fighter pilot's epic struggle of survival after being shot down on a mission over Laos during the Vietnam War.|PG-13|126
Sleepless in Seattle|13|1993|What if someone you never met, someone you never saw, someone you never knew was the only someone for you?|A recently-widowed man's son calls a radio talk show in an attempt to find his father a partner.|PG|105
Snow Falling on Cedars|11|1999|First loves last. Forever.|A Japanese-American fisherman may have killed his neighbor Carl at sea. In the 1950's, race figures in the trial. So does reporter Ishmael.|PG-13|127
Something's Gotta Give|34|1975|Something's Gotta Give|A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.|PG-13|128
Speed Racer|25|2008|Speed has no limits|A young driver, Speed Racer, aspires to be champion of the racing world with the help of his family and his high-tech Mach 5 automobile.|PG|135
Stand By Me|8|1995|For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.|After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.|R|89
Star Trek|40|2009|The future begins.|The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time.|PG-13|127
Star Trek Into Darkness|41|2013|Earth Will Fall|When the crew of the Enterprise is called back home, they find an unstoppable force of terror from within their own organization has detonated the fleet and everything it stands for, leaving our world in a state of crisis.  With a personal score to settle, Captain Kirk leads a manhunt to a war-zone world to capture a one man weapon of mass destruction. As our heroes are propelled into an epic chess game of life and death, love will be challenged, friendships will be torn apart, and sacrifices must be made for the only family Kirk has left: his crew.|PG-13|132
Star Wars Episode V - The Empire Strikes Back|39|1980|The Star Wars saga continues|After the rebels have been brutally overpowered by the Empire on their newly established base, Luke Skywalker takes advanced Jedi training with Master Yoda, while his friends are pursued by Darth Vader as part of his plan to capture Luke.|null|124
That Thing You Do|16|1996|In every life there comes a time when that thing you dream becomes that thing you do|A Pennsylvania band scores a hit in 1964 and rides the star-making machinery as long as it can, with lots of help from its manager.|PG|108
The Avengers|59|2012|Some assembly required.|When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!|PG-13|143
The Birdcage|19|1996|Come as you are|A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancÌ©e's right-wing moralistic parents.|R|117
The Da Vinci Code|23|2006|Break The Codes|A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of Christianity.|PG-13|149
The Devil's Advocate|4|1997|Evil has its winning ways|A hotshot lawyer gets more than he bargained for when he learns his new boss is Lucifer himself.|R|144
The Great Gatsby|57|2013|Reserving judgments is a matter of infinite hope. ...I come to the admission that it has a limit.|An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await|PG-13|143
