name|id|born
Aaron Sorkin|24|1961
Adelaide Clemens|398|1989
Adewale Akinnuoye-Agbaje|367|1967
Ahmed Ahmed|257|1970
Aidan Turner|189|1983
Al Pacino|10|1940
Alan Ritchson|276|1982
Alan Taylor|386|null
Alec Baldwin|403|1958
Alejandro Agresti|451|null
Alessandro Juliani|239|1978
Alex Kurtzman|173|1973
Alexander Ludwig|304|1992
Alexis Denisof|380|1966
Alice Eve|175|1982
Alice Krige|341|1954
Amanda Plummer|278|1957
Amandla Stenberg|302|1998
America Olivo|261|1978
Amitabh Bachchan|397|1942
Amy Adams|224|1974
Andy Serkis|181|1964
Andy Wachowski|5|1967
Angela Scope|131|null
Annabella Sciorra|48|1960
Anthony Edwards|27|1962
Anthony Hopkins|371|1937
Antje Traue|232|1981
Anton Yelchin|170|1972
Arliss Howard|420|1954
Ashley Hamilton|208|1974
Ashley Johnson|381|1983
Audrey Tautou|91|1976
Ayelet Zurer|231|1969
Aziz Ansari|349|1983
Barry Humphries|191|1934
Baz Luhrmann|400|1962
Ben Kingsley|203|1943
Ben Miles|97|1967
Benedict Cumberbatch|174|1976
Benicio del Toro|339|1967
Bill Nighy|429|1949
Bill O'Reilly|272|1949
Bill Paxton|117|1955
Bill Pullman|63|1953
Bill Smitrovich|254|1947
Billy Connolly|160|1942
Billy Crystal|68|1948
Billy Dee Williams|157|1937
Bo Goldman|467|null
Bonnie Hunt|36|1961
Brad Pitt|281|1963
Bret McKenzie|188|1976
Bridger Zadina|210|1994
Brie Larson|437|1989
Brooke Langton|72|1970
Bruce Greenwood|165|1956
Bruce Joel Rubin|424|null
Bruno Kirby|70|1949
Callan McAuliffe|396|1995
Cameron Crowe|39|1957
Carey Mulligan|392|1985
Carla Gugino|236|1971
Carrie Fisher|69|1956
Carrie-Anne Moss|2|1967
Cate Blanchett|179|1969
Channing Tatum|358|1980
Charlize Theron|9|1975
Chris Columbus|124|1958
Chris Evans|337|1981
Chris Hemsworth|360|1983
Chris Miller|456|1975
Chris Morgan|389|null
Chris O'Dowd|373|1979
Chris Pine|161|1980
Christian Bale|76|1974
Christiane Amanpour|270|1958
Christina Ricci|102|1980
Christopher Eccleston|366|1964
Christopher Guest|22|1948
Christopher Lee|184|1922
Christopher Meloni|229|1961
Christopher Mintz-Plasse|356|1989
Christopher Nolan|241|1970
Christopher Plummer|446|1929
Claire Forlani|459|1972
Clark Gregg|249|1962
Clint Eastwood|80|1930
Clive Russell|372|1945
Cobie Smulders|416|1982
Colm Feore|343|1958
Common|329|1972
Corey Feldman|41|1971
Courtney B. Vance|409|1960
Craig Robinson|354|1971
Cuba Gooding Jr.|18|1968
Damon Lindelof|178|1973
Dan Brown|152|1964
Dan Mazeau|435|null
Dan Mintz|217|1981
Danny DeVito|114|1944
Danny Huston|430|1962
Danny McBride|353|1976
Dave Chappelle|58|1973
Dave Franco|328|1985
David Auburn|452|null
David Guterson|138|1956
David Johnson|436|null
David Krumholtz|350|1978
David Mamet|150|1947
David Mitchell|88|1969
David Morse|106|1953
David S. Goyer|242|1965
David Warshofsky|330|1961
David Webb Peoples|146|1940
Dean O'Gorman|193|1976
Demi Moore|14|1962
Diane Keaton|122|1946
Diane Lane|225|1965
